,artistName,trackName,artist_uri,album_uri,track_uri,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
100,Keala Settle,"This Is Me Alan Walker Relift; from ""The Greatest Showman""",spotify:artist:7HV2RI2qNug4EcQqLbCAKS,spotify:album:7luUoT7Y82DkMvGzZib8oo,spotify:track:1QBoJK6GLAYMlNblm5gFBP,0.129,0.422,215759.0,0.824,0.0,2.0,0.304,-3.447,1.0,0.0756,95.331,4.0,0.294
102,Keala Settle,Bird Set Free,spotify:artist:7HV2RI2qNug4EcQqLbCAKS,spotify:album:7KvITMHiH0V9beHz4FAiHk,spotify:track:01mfJ2QI3OYtiLat3GasVB,0.0348,0.425,222762.0,0.594,0.00141,11.0,0.0836,-6.96,1.0,0.0544,150.237,4.0,0.264
103,Elijah N,Everybody,spotify:artist:6SbkdoreoUsexJVVmFAOFl,spotify:album:7GFDwR3G1jijRt07omeW6C,spotify:track:43nTVV8UMUv3jVx5MpYEGO,0.0539,0.658,181905.0,0.644,0.0,2.0,0.365,-7.022,1.0,0.0625,126.101,4.0,0.516
108,Rihanna,Only Girl (In The World),spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,spotify:album:5QG3tjE5L9F6O2vCAPph38,spotify:track:2ENexcMEMsYk0rVJigVD3i,0.112,0.789,235493.0,0.706,1.71e-05,11.0,0.0586,-4.233,0.0,0.0429,125.911,4.0,0.638
109,Pháo,2 Phút Hơn KAIZ Remix,spotify:artist:4en2ObzSYlIYbCGknXjgG9,spotify:album:1V8qSPtmixwUiyLheEazuc,spotify:track:4SUk1ZTtA6OC120afxrpRZ,0.0265,0.845,183832.0,0.733,0.0109,9.0,0.063,-4.581,1.0,0.0566,128.016,4.0,0.28
110,One Direction,What Makes You Beautiful,spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq,spotify:album:6cunQQ7YZisYOoiFu2ywIq,spotify:track:4cluDES4hQEUhmXj6TXkSo,0.009,0.726,199987.0,0.787,0.0,4.0,0.0596,-2.494,1.0,0.0737,124.99,4.0,0.888
111,Run–D.M.C.,Its Tricky,spotify:artist:3CQIn7N5CuRDP8wEI7FiDA,spotify:album:7AFsTiojVaB2I58oZ1tMRg,spotify:track:6jBCehpNMkwFVF3dz4nLIW,0.00131,0.965,183760.0,0.857,0.0,11.0,0.0726,-8.458,0.0,0.17,127.656,4.0,0.951
114,Asaf Avidan,The Labyrinth Song,spotify:artist:7t51dSX8ZkKC7VoKRd0lME,spotify:album:5SnyFVHXPnQLzqys1O0kWe,spotify:track:2H4x76nJf1q2jqw72uwzxN,0.953,0.484,248911.0,0.126,8.44e-05,2.0,0.133,-13.224,0.0,0.054,82.48,4.0,0.206
115,Jack Johnson,Better Together,spotify:artist:3GBPw9NK25X1Wt2OUvOwY3,spotify:album:7tTc46dNdE6GGuiQsssWxo,spotify:track:4VywXu6umkIQ2OS0m1I79y,0.308,0.868,207680.0,0.347,2e-05,5.0,0.11,-9.529,1.0,0.0536,110.059,4.0,0.659
116,Raury,Gods Whisper,spotify:artist:2PU4qFehXQF7WnlFsJpBiJ,spotify:album:3HVk2UGwXUfE51s1MmPzrL,spotify:track:4BjX3hTy43SMyXUKXBVF2v,0.0626,0.611,248613.0,0.556,0.343,9.0,0.107,-9.999,0.0,0.0293,144.023,3.0,0.412
117,Regard,Ride It,spotify:artist:4ofCBoyEiGSePFAG500xev,spotify:album:4zOhjJfe0dwqsNdDYk622E,spotify:track:2tnVG71enUj33Ic2nFN6kZ,0.177,0.88,157606.0,0.751,6.43e-05,7.0,0.106,-4.258,0.0,0.0874,117.948,4.0,0.884
